 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
47,801,57.114,38.002,34,13,184,134.272,211.703,134.667,216.382,118.225,121,194,30,39,39.611,25.747,73.610,0.720,39.825,45748,44,1.414,0.884,100.000,45748,125,231,61.504,29.263,1.538,0.650,0.886
48,990,60.404,21.245,64,6,122,190.086,220.562,191.213,220.231,136.267,175,197,31,45,45.379,27.778,93.751,0.670,46.573,59800,61,0.196,-0.241,100.000,59800,182,197,104.931,30.975,1.634,0.612,0.876
49,1023,77.232,35.580,51,17,180,584.225,212.176,586.849,211.615,145.439,557,197,51,30,49.753,26.180,16.728,0.608,53.451,79008,71,0.396,-0.821,100.000,79008,557,223,17.418,29.051,1.900,0.526,0.877
50,837,78.719,31.108,112,17,160,63.842,218.582,64.623,218.952,109.882,47,201,32,36,36.831,28.935,122.298,0.871,38.910,65888,78,0.006,-0.904,100.000,65888,55,202,115.907,29.698,1.273,0.786,0.950
51,412,34.170,8.235,34,10,64,795.066,211.362,795.419,211.365,77.598,781,202,28,19,28.693,18.283,176.065,0.860,28.636,14078,34,0.353,0.588,100.000,14078,781,207,167.905,18.385,1.569,0.637,0.938
52,789,80.888,31.558,75,10,180,720.406,227.870,721.381,228.421,117.539,702,213,39,31,40.712,24.676,22.076,0.718,40.853,63821,81,-0.107,-0.476,100.000,63821,702,235,21.541,26.769,1.650,0.606,0.900
53,539,33.250,8.783,30,10,61,766.860,226.185,767.052,226.482,110.953,748,216,38,20,39.711,17.282,178.621,0.550,38.639,17922,34,0.057,-0.242,100.000,17922,748,231,10.437,20.000,2.298,0.435,0.817
54,464,100.256,54.283,27,10,221,253.056,229.884,255.088,230.949,81.841,239,218,27,23,28.217,20.937,21.749,0.871,28.844,46519,109,0.022,-1.096,100.000,46519,240,237,33.690,21.769,1.348,0.742,0.937
55,1278,79.515,37.956,40,17,180,34.167,244.110,35.365,244.831,149.823,13,219,41,50,52.887,30.768,116.271,0.715,53.235,101620,71,0.406,-1.024,100.000,101620,25,220,118.009,32.868,1.719,0.582,0.920
56,680,44.303,14.252,40,10,92,658.876,241.484,659.644,241.468,115.539,641,226,35,29,33.100,26.157,13.858,0.640,35.511,30126,44,0.420,0.015,100.000,30126,642,250,32.347,28.564,1.265,0.790,0.859
57,561,61.266,20.761,47,20,136,596.842,238.393,598.143,238.790,98.083,578,228,38,21,38.540,18.534,3.405,0.733,38.471,34370,61,0.303,-0.533,100.000,34370,578,241,8.973,20.498,2.079,0.481,0.911
58,2222,82.575,44.846,30,10,197,170.284,256.033,170.783,256.563,338.090,125,233,96,51,84.362,33.536,175.199,0.244,96.333,183481,85,0.135,-1.354,100.000,183481,125,253,175.236,48.228,2.516,0.398,0.671
59,666,81.279,36.408,98,6,160,434.411,248.652,435.989,250.280,99.054,419,233,31,31,34.840,24.339,39.850,0.853,35.228,54132,85,-0.123,-1.012,100.000,54132,420,259,34.592,25.023,1.431,0.699,0.937
60,389,68.170,24.575,68,13,133,306.734,245.531,307.489,245.920,74.669,296,234,22,24,24.112,20.541,58.787,0.877,25.000,26518,71,-0.202,-0.705,100.000,26518,299,256,53.130,21.466,1.174,0.852,0.935
